37.265099,127.004669,A44278301
37.285469,126.985017,A44271801
37.287013,126.985247,A44287003
37.284679,126.982115,A44271810
37.287926,126.981951,A44271805
37.289179,126.987892,A44287004
37.285895,126.992384,A44278211
37.288984,126.983867,A44271814
37.281542,126.995975,A10023237
37.286731,126.986481,A44271806
37.288408,127.000562,A44215213
37.284101,126.992391,A44278215
37.280151,126.994079,A44286501
37.283597,127.003612,A44270401
37.284884,126.994898,A44271815
37.287271,127.002213,A44271816
37.288112,126.980483,A44271812
37.281293,126.993522,A44287009
37.284891,127.004378,A44285708
37.284278,126.992589,A44278207
37.282485,126.999981,A44270402
37.273314,127.02985,A44277305
37.273287,127.03062,A44282801
37.275753,127.038934,A10024542
37.276693,127.028647,A44282703
37.267021,127.030502,A10025271
37.26955,127.036456,A44277306
37.271191,127.036404,A44282808
37.272086,127.021267,A10023085
37.272972,127.037508,A44277308
37.276088,127.025442,A10025519
37.277286,127.031262,A10027955
37.274593,127.032099,A44276410
37.276255,127.036511,A44282607
37.275262,127.035927,A44276209
37.276964,127.035423,A44277307
37.270467,127.022681,A44277301
37.260399,127.034526,A44277304
37.275839,127.042115,A44219005
37.281158,127.037947,A44281603
37.277013,127.038378,A10023592
37.287655,127.03159,A44219003
37.276577,127.043282,A44281601
37.282008,127.038463,A44281604
37.292183,127.034689,A44219004
37.277482,127.041219,A44275305
37.279127,127.037018,A44275103
37.277285,127.039972,A44275102
37.279101,127.031913,A44275406
37.277832,127.037122,A44219002
37.278415,127.036427,A44219001
37.291894,127.031194,A44275001
37.267302,127.019283,A10023717
37.267408,127.015936,A44222001
37.271341,127.015585,A10026819
37.268215,127.011944,A10023630
37.272328,126.99755,A10024465
37.274909,126.999475,A10024429
37.270503,127.002936,A10024604
37.273101,126.998004,A10023795
37.275759,127.023216,A10023382
37.270099,127.01238,A44213001
37.312894,126.99376,A10022987
37.307808,127.000541,A44077502
37.3091,126.997941,A44085201
37.310744,126.992997,A44085102
37.311392,126.99126,A44077501
37.302385,126.981966,A44073205
37.289811,126.9947,A44071704
37.301946,126.977459,A44071301
37.302248,126.979062,A44071006
37.297666,126.980778,A44073008
37.291774,126.980989,A44033010
37.301086,126.97996,A44072702
37.297063,126.976368,A44072307
37.298439,126.983487,A44033001
37.302041,126.975349,A44072503
37.306154,127.004902,A44070904
37.307462,127.012158,A44070202
37.298424,127.018741,A10023773
37.304635,127.015767,A44071602
37.303139,127.018941,A44071603
37.297576,127.021028,A44070801
37.306366,127.013614,A44070201
37.303209,126.995249,A44070706
37.294366,126.986035,A44073504
37.301906,126.99698,A44083704
37.293832,126.998887,A44083104
37.300392,126.988781,A44072805
37.296237,126.988265,A44071908
37.292607,127.005252,A44083301
37.293696,126.985011,A44073411
37.295162,126.998202,A44083103
37.296527,126.991478,A44030004
37.302458,126.992198,A44083801
37.307186,126.984831,A44030005
37.302261,126.989996,A44030002
